Index, Original Porosity, Generated Porosity
0,0.187853,0.184404
1,0.187853,0.186672
2,0.187853,0.189692
3,0.187853,0.188183
4,0.187853,0.179792
5,0.187853,0.183126
6,0.187853,0.186454
7,0.187853,0.186956
8,0.195299,0.189012
9,0.195299,0.190878
10,0.195299,0.195544
11,0.195299,0.196727
12,0.195299,0.193329
13,0.195299,0.193355
14,0.195299,0.196325
15,0.195299,0.196784
16,0.193782,0.196676
17,0.193782,0.196494
18,0.193782,0.196620
19,0.193782,0.195098
20,0.193782,0.195575
21,0.193782,0.195666
22,0.193782,0.196768
23,0.193782,0.194985
24,0.196459,0.196469
25,0.196459,0.198992
26,0.196459,0.197606
27,0.196459,0.199086
28,0.196459,0.197188
29,0.196459,0.197425
30,0.196459,0.197023
31,0.196459,0.198300
32,0.196539,0.199181
33,0.196539,0.199013
34,0.196539,0.199469
35,0.196539,0.198733
36,0.196539,0.198990
37,0.196539,0.199025
38,0.196539,0.199010
39,0.196539,0.198296
40,0.192424,0.191165
41,0.192424,0.191608
42,0.192424,0.189380
43,0.192424,0.191910
44,0.192424,0.188910
45,0.192424,0.186939
46,0.192424,0.187186
47,0.192424,0.186268
48,0.203135,0.203062
49,0.203135,0.199001
50,0.203135,0.204914
51,0.203135,0.197680
52,0.203135,0.202729
53,0.203135,0.200841
54,0.203135,0.205087
55,0.203135,0.201956
56,0.186301,0.185537
57,0.186301,0.185317
58,0.186301,0.182399
59,0.186301,0.179395
60,0.186301,0.183705
61,0.186301,0.183110
62,0.186301,0.180674
63,0.186301,0.173107
64,0.194753,0.195821
65,0.194753,0.194174
66,0.194753,0.196841
67,0.194753,0.195628
68,0.194753,0.197435
69,0.194753,0.197119
70,0.194753,0.196477
71,0.194753,0.196460
72,0.201839,0.203321
73,0.201839,0.203398
74,0.201839,0.203546
75,0.201839,0.201946
76,0.201839,0.202155
77,0.201839,0.202575
78,0.201839,0.200307
79,0.201839,0.201467
80,0.197633,0.197663
81,0.197633,0.199065
82,0.197633,0.197673
83,0.197633,0.197436
84,0.197633,0.198604
85,0.197633,0.199362
86,0.197633,0.198937
87,0.197633,0.200719
88,0.192757,0.195281
89,0.192757,0.195721
90,0.192757,0.195361
91,0.192757,0.195371
92,0.192757,0.195015
93,0.192757,0.195752
94,0.192757,0.196170
95,0.192757,0.194762
96,0.200058,0.192166
97,0.200058,0.199954
98,0.200058,0.188026
99,0.200058,0.197784
100,0.200058,0.189615
101,0.200058,0.199018
102,0.200058,0.190936
103,0.200058,0.197478
104,0.198202,0.191062
105,0.198202,0.195577
106,0.198202,0.195578
107,0.198202,0.196168
108,0.198202,0.189390
109,0.198202,0.197070
110,0.198202,0.192137
111,0.198202,0.196137
112,0.195439,0.187019
113,0.195439,0.187826
114,0.195439,0.187236
115,0.195439,0.185727
116,0.195439,0.183683
117,0.195439,0.186859
118,0.195439,0.183480
119,0.195439,0.179410
120,0.201508,0.188702
121,0.201508,0.192210
122,0.201508,0.192557
123,0.201508,0.197817
124,0.201508,0.192362
125,0.201508,0.192799
126,0.201508,0.192274
127,0.201508,0.196373
128,0.197472,0.190643
129,0.197472,0.192989
130,0.197472,0.195435
131,0.197472,0.195552
132,0.197472,0.186699
133,0.197472,0.190317
134,0.197472,0.194217
135,0.197472,0.191112
136,0.202240,0.202949
137,0.202240,0.199220
138,0.202240,0.204146
139,0.202240,0.202817
140,0.202240,0.202378
141,0.202240,0.198958
142,0.202240,0.203443
143,0.202240,0.202028
144,0.189562,0.187942
145,0.189562,0.186411
146,0.189562,0.190419
147,0.189562,0.185293
148,0.189562,0.185665
149,0.189562,0.187953
150,0.189562,0.185819
151,0.189562,0.182517
152,0.196899,0.178904
153,0.196899,0.182264
154,0.196899,0.184074
155,0.196899,0.190493
156,0.196899,0.185800
157,0.196899,0.186274
158,0.196899,0.190497
159,0.196899,0.194687
160,0.186036,0.188171
161,0.186036,0.188002
162,0.186036,0.188083
163,0.186036,0.187858
164,0.186036,0.188482
165,0.186036,0.188711
166,0.186036,0.188739
167,0.186036,0.187740
168,0.193637,0.187205
169,0.193637,0.191090
170,0.193637,0.180224
171,0.193637,0.187702
172,0.193637,0.193501
173,0.193637,0.192024
174,0.193637,0.183668
175,0.193637,0.189151
176,0.197755,0.189095
177,0.197755,0.194006
178,0.197755,0.189799
179,0.197755,0.189100
180,0.197755,0.185216
181,0.197755,0.190574
182,0.197755,0.180993
183,0.197755,0.186975
184,0.192589,0.190535
185,0.192589,0.191963
186,0.192589,0.194427
187,0.192589,0.195105
188,0.192589,0.187951
189,0.192589,0.190177
190,0.192589,0.194591
191,0.192589,0.193153
192,0.195174,0.191728
193,0.195174,0.192053
194,0.195174,0.196483
195,0.195174,0.195839
196,0.195174,0.191047
197,0.195174,0.193381
198,0.195174,0.196485
199,0.195174,0.196405
200,0.200100,0.193351
201,0.200100,0.196647
202,0.200100,0.191157
203,0.200100,0.190699
204,0.200100,0.199933
205,0.200100,0.200794
206,0.200100,0.197708
207,0.200100,0.200689
208,0.180811,0.183260
209,0.180811,0.183979
210,0.180811,0.180485
211,0.180811,0.179192
212,0.180811,0.181455
213,0.180811,0.181907
214,0.180811,0.177352
215,0.180811,0.179849
216,0.193040,0.194829
217,0.193040,0.195618
218,0.193040,0.194763
219,0.193040,0.195398
220,0.193040,0.195110
221,0.193040,0.195600
222,0.193040,0.194212
223,0.193040,0.195699
224,0.190987,0.190104
225,0.190987,0.186803
226,0.190987,0.179649
227,0.190987,0.179097
228,0.190987,0.182988
229,0.190987,0.183648
230,0.190987,0.181226
231,0.190987,0.178102
232,0.203965,0.198130
233,0.203965,0.206036
234,0.203965,0.200999
235,0.203965,0.205453
236,0.203965,0.199542
237,0.203965,0.205375
238,0.203965,0.200809
239,0.203965,0.205305
240,0.203141,0.197392
241,0.203141,0.203669
242,0.203141,0.194430
243,0.203141,0.202782
244,0.203141,0.193251
245,0.203141,0.201580
246,0.203141,0.191001
247,0.203141,0.203731
248,0.190115,0.192043
249,0.190115,0.193340
250,0.190115,0.192942
251,0.190115,0.192929
252,0.190115,0.192297
253,0.190115,0.192526
254,0.190115,0.192862
255,0.190115,0.193195
256,0.183776,0.175299
257,0.183776,0.185438
258,0.183776,0.184723
259,0.183776,0.180083
260,0.183776,0.187109
261,0.183776,0.185088
262,0.183776,0.180500
263,0.183776,0.180553
264,0.203184,0.205079
265,0.203184,0.206272
266,0.203184,0.205406
267,0.203184,0.205779
268,0.203184,0.205611
269,0.203184,0.205985
270,0.203184,0.206202
271,0.203184,0.206529
272,0.198128,0.187614
273,0.198128,0.185479
274,0.198128,0.180844
275,0.198128,0.184894
276,0.198128,0.191225
277,0.198128,0.188244
278,0.198128,0.184385
279,0.198128,0.184742
280,0.193124,0.192032
281,0.193124,0.194715
282,0.193124,0.192320
283,0.193124,0.192211
284,0.193124,0.193898
285,0.193124,0.194156
286,0.193124,0.191247
287,0.193124,0.193316
288,0.197893,0.189103
289,0.197893,0.196604
290,0.197893,0.191749
291,0.197893,0.198000
292,0.197893,0.192949
293,0.197893,0.197984
294,0.197893,0.193159
295,0.197893,0.198174
296,0.183656,0.185451
297,0.183656,0.185995
298,0.183656,0.184907
299,0.183656,0.186296
300,0.183656,0.185745
301,0.183656,0.185547
302,0.183656,0.184778
303,0.183656,0.181993
304,0.189063,0.185754
305,0.189063,0.189807
306,0.189063,0.190584
307,0.189063,0.191278
308,0.189063,0.189011
309,0.189063,0.184663
310,0.189063,0.189425
311,0.189063,0.190293
312,0.195428,0.197777
313,0.195428,0.197570
314,0.195428,0.197574
315,0.195428,0.197804
316,0.195428,0.197839
317,0.195428,0.198240
318,0.195428,0.197808
319,0.195428,0.198692
320,0.192749,0.195049
321,0.192749,0.195091
322,0.192749,0.195407
323,0.192749,0.195363
324,0.192749,0.194340
325,0.192749,0.195050
326,0.192749,0.194950
327,0.192749,0.195116
0,0.187853,0.183402
1,0.187853,0.182919
2,0.187853,0.187597
3,0.187853,0.186740
8,0.187853,0.184282
9,0.187853,0.184686
10,0.187853,0.186489
11,0.187853,0.185447
16,0.195299,0.186743
17,0.195299,0.190924
18,0.195299,0.194691
19,0.195299,0.195933
24,0.195299,0.192769
25,0.195299,0.193958
26,0.195299,0.198385
27,0.195299,0.197288
32,0.193782,0.196774
33,0.193782,0.195969
34,0.193782,0.195712
35,0.193782,0.195719
40,0.193782,0.196933
41,0.193782,0.194489
42,0.193782,0.196738
43,0.193782,0.195578
48,0.196459,0.196245
49,0.196459,0.198160
50,0.196459,0.199270
51,0.196459,0.198238
56,0.196459,0.194319
57,0.196459,0.198043
58,0.196459,0.196583
59,0.196459,0.198656
64,0.196539,0.198306
65,0.196539,0.198977
66,0.196539,0.198962
67,0.196539,0.198655
72,0.196539,0.199224
73,0.196539,0.198834
74,0.196539,0.198930
75,0.196539,0.198551
80,0.192424,0.191869
81,0.192424,0.191003
82,0.192424,0.191362
83,0.192424,0.191330
88,0.192424,0.189896
89,0.192424,0.187306
90,0.192424,0.189450
91,0.192424,0.187657
96,0.203135,0.201642
97,0.203135,0.200995
98,0.203135,0.203217
99,0.203135,0.201197
104,0.203135,0.203643
105,0.203135,0.199393
106,0.203135,0.204127
107,0.203135,0.202409
112,0.186301,0.184685
113,0.186301,0.182739
114,0.186301,0.177861
115,0.186301,0.180027
120,0.186301,0.183701
121,0.186301,0.181074
122,0.186301,0.178646
123,0.186301,0.181972
128,0.194753,0.194578
129,0.194753,0.195980
130,0.194753,0.196476
131,0.194753,0.196522
136,0.194753,0.196945
137,0.194753,0.196226
138,0.194753,0.197138
139,0.194753,0.197074
144,0.201839,0.203496
145,0.201839,0.203394
146,0.201839,0.202501
147,0.201839,0.202842
152,0.201839,0.202259
153,0.201839,0.201345
154,0.201839,0.200089
155,0.201839,0.199828
160,0.197633,0.199019
161,0.197633,0.199500
162,0.197633,0.196443
163,0.197633,0.198645
168,0.197633,0.199293
169,0.197633,0.199711
170,0.197633,0.198114
171,0.197633,0.199454
176,0.192757,0.195172
177,0.192757,0.195887
178,0.192757,0.195193
179,0.192757,0.195762
184,0.192757,0.195693
185,0.192757,0.195269
186,0.192757,0.194989
187,0.192757,0.195134
192,0.200058,0.189913
193,0.200058,0.198702
194,0.200058,0.192077
195,0.200058,0.200540
200,0.200058,0.193969
201,0.200058,0.197257
202,0.200058,0.188965
203,0.200058,0.199538
208,0.198202,0.192050
209,0.198202,0.197813
210,0.198202,0.191910
211,0.198202,0.197859
216,0.198202,0.195157
217,0.198202,0.197388
218,0.198202,0.194439
219,0.198202,0.196720
224,0.195439,0.187645
225,0.195439,0.182764
226,0.195439,0.191037
227,0.195439,0.184979
232,0.195439,0.185761
233,0.195439,0.181010
234,0.195439,0.183518
235,0.195439,0.181657
240,0.201508,0.184935
241,0.201508,0.192168
242,0.201508,0.192991
243,0.201508,0.198074
248,0.201508,0.193506
249,0.201508,0.189343
250,0.201508,0.190926
251,0.201508,0.196498
256,0.197472,0.186768
257,0.197472,0.189089
258,0.197472,0.196954
259,0.197472,0.194016
264,0.197472,0.186990
265,0.197472,0.185143
266,0.197472,0.194232
267,0.197472,0.192791
272,0.202240,0.203186
273,0.202240,0.197800
274,0.202240,0.204380
275,0.202240,0.200589
280,0.202240,0.202834
281,0.202240,0.195551
282,0.202240,0.202500
283,0.202240,0.202363
288,0.189562,0.187018
289,0.189562,0.186024
290,0.189562,0.186509
291,0.189562,0.188265
296,0.189562,0.183880
297,0.189562,0.183633
298,0.189562,0.186082
299,0.189562,0.183596
304,0.196899,0.181288
305,0.196899,0.180118
306,0.196899,0.187053
307,0.196899,0.185750
312,0.196899,0.181169
313,0.196899,0.187645
314,0.196899,0.192002
315,0.196899,0.192140
320,0.186036,0.188398
321,0.186036,0.188402
322,0.186036,0.187228
323,0.186036,0.187559
328,0.186036,0.188010
329,0.186036,0.188600
330,0.186036,0.187684
331,0.186036,0.188222
336,0.193637,0.187561
337,0.193637,0.189498
338,0.193637,0.182015
339,0.193637,0.183942
344,0.193637,0.191035
345,0.193637,0.191573
346,0.193637,0.184775
347,0.193637,0.185525
