Index, Original Porosity, Generated Porosity
0,0.193069,0.191918
1,0.193069,0.189427
2,0.193069,0.160319
3,0.193069,0.190871
4,0.193069,0.180822
5,0.193069,0.178767
6,0.193069,0.190354
7,0.193069,0.170614
8,0.282032,0.275210
9,0.282032,0.272485
10,0.282032,0.271794
11,0.282032,0.277818
12,0.282032,0.267419
13,0.282032,0.278465
14,0.282032,0.277428
15,0.282032,0.278681
16,0.318214,0.312923
17,0.318214,0.310731
18,0.318214,0.312543
19,0.318214,0.312639
20,0.318214,0.305465
21,0.318214,0.306919
22,0.318214,0.306363
23,0.318214,0.312882
24,0.173836,0.173395
25,0.173836,0.168960
26,0.173836,0.171925
27,0.173836,0.173812
28,0.173836,0.168373
29,0.173836,0.174559
30,0.173836,0.168933
31,0.173836,0.162746
32,0.286036,0.281709
33,0.286036,0.281721
34,0.286036,0.282881
35,0.286036,0.283934
36,0.286036,0.283952
37,0.286036,0.281886
38,0.286036,0.283255
39,0.286036,0.281728
40,0.211059,0.199439
41,0.211059,0.203956
42,0.211059,0.207781
43,0.211059,0.208647
44,0.211059,0.203653
45,0.211059,0.199694
46,0.211059,0.206185
47,0.211059,0.205983
48,0.297288,0.294219
49,0.297288,0.292353
50,0.297288,0.292647
51,0.297288,0.290902
52,0.297288,0.289537
53,0.297288,0.276421
54,0.297288,0.292170
55,0.297288,0.295052
56,0.224228,0.216788
57,0.224228,0.193269
58,0.224228,0.210188
59,0.224228,0.211139
60,0.224228,0.202246
61,0.224228,0.191940
62,0.224228,0.193180
63,0.224228,0.190624
64,0.332874,0.324076
65,0.332874,0.324684
66,0.332874,0.327061
67,0.332874,0.326353
68,0.332874,0.327086
69,0.332874,0.267289
70,0.332874,0.303448
71,0.332874,0.326798
72,0.285784,0.279734
73,0.285784,0.281048
74,0.285784,0.276564
75,0.285784,0.281425
76,0.285784,0.274224
77,0.285784,0.272073
78,0.285784,0.276680
79,0.285784,0.276019
80,0.285790,0.276105
81,0.285790,0.279924
82,0.285790,0.277018
83,0.285790,0.283226
84,0.285790,0.274355
85,0.285790,0.271019
86,0.285790,0.212343
87,0.285790,0.245344
88,0.234096,0.231879
89,0.234096,0.232394
90,0.234096,0.231082
91,0.234096,0.232468
92,0.234096,0.232002
93,0.234096,0.232963
94,0.234096,0.232616
95,0.234096,0.230797
96,0.209679,0.188213
97,0.209679,0.122415
98,0.209679,0.141483
99,0.209679,0.205266
100,0.209679,0.191576
101,0.209679,0.207903
102,0.209679,0.167355
103,0.209679,0.207420
104,0.228809,0.165935
105,0.228809,0.227339
106,0.228809,0.148632
107,0.228809,0.210671
108,0.228809,0.221172
109,0.228809,0.228171
110,0.228809,0.173709
111,0.228809,0.226052
112,0.329865,0.305924
113,0.329865,0.236087
114,0.329865,0.234104
115,0.329865,0.289372
116,0.329865,0.206745
117,0.329865,0.241930
118,0.329865,0.247329
119,0.329865,0.263044
120,0.262251,0.239481
121,0.262251,0.249546
122,0.262251,0.247651
123,0.262251,0.255621
124,0.262251,0.240148
125,0.262251,0.254287
126,0.262251,0.236876
127,0.262251,0.259264
128,0.162057,0.156208
129,0.162057,0.160285
130,0.162057,0.161620
131,0.162057,0.133932
132,0.162057,0.137306
133,0.162057,0.140657
134,0.162057,0.154489
135,0.162057,0.155788
136,0.300999,0.264076
137,0.300999,0.274875
